push-up	armheving
management	leiing/ledelse (bedrifts-), styring
roll-up	rullebanner, rulleplakat
streaming	strøyming/strømming (direkteavspeling/direkteavspilling av video og lyd over Internett) (IKT)
aftershave	etterbarberingsvatn/etterbarberingsvann
catwalk	motemolo
deep fake	avansert videomanipulering
browse path	katalogstig/katalogsti, filstig/filsti (IKT), jf. search path
mail	e-post, e-brev, e-melding, jf. e-mail
release party	(plate)sleppfest/(plate)slippfest
support	brukarstøtte/brukerstøtte (IKT); støtte (allment); jf. help desk
webmaster	nettredaktør, nettadministrator, nettmeister/nettmester, vevadministrator, vevmeister/vevmester, vevredaktør
ghost writer	skyggeforfatter / skuggeforfattar
mute	dempar/demper
patch	reparasjonsfil, programfiks, feilfiks (IKT)
peer-to-peer network	likenett, jambyrdsnett/jevnbyrdsnett
p2p	likenett, jambyrdsnett/jevnbyrdsnett
peptalk	peppreik, pepprat, kveikpreik, piffprat
sit-up	magebøying, bukbøy
clue	nøkkel, kjerne, poeng
frisbee	disk, skjenebrett, sendeplate
keeper	målvakt
beacon technology	mobilfyrteknologi, nettvardeteknologi
mindfulness	oppmerksomt nærvær / merksamt nærvær, ans
dummy	modell, prototyp, falsk, uekte, skinn-
india pale ale	indiaøl
joint venture	samføretak/samforetak, fellesføretak/fellesforetak, samarbeidsprosjekt
backslash	omvend skråstrek / omvendt skråstrek
lipliner	leppeblyant, leppekajal, jf. eyeliner
whiteboard-svamp	tavleviskar/tavlevisker
infomercial	infoklame
offline	nedkopla/nedkoplet, fråkopla/frakoplet, jf. online
selfie	sjølis, selvis / sjølvis, selvportrett, sjølportrett / sjølvportrett, selvfoto, sjølfoto / sjølvfoto, selvknips, sjølknips / sjølvknips, egofoto, egobilde/egobilete
aircondition	klimaanlegg, luftkondisjonering
copyright	opphavsrett
hardware	maskinvare
muddling through	småstegsmetoden / de små skritts metode [prosess, metode]
teambuilding	lagutvikling, lagbygging
trigge	setje i gang / sette i gang, utløyse/utløse
allround-	altmogleg-/altmulig-, allsidig, allmenn-, universal-
art director (ad)	kunstnarleg leiar/kunstnerisk leder (teater m.m.); grafisk formgjevar/formgiver (rekl.); reklamesjef (arb.liv)
artist in residence	gjestekunstnar/gjestekunstner
manager	leiar/leder, sjef, forretningsførar/forretningsfører, impresario, arrangør
swimming pool	symjebasseng/svømmebasseng
backlist	tittellager, tittelportefølje (allment); bokportefølje (i forlag)
business-to-business	handel mellom næringsdrivande / handel mellom næringsdrivende, handel mellom bedrifter, bedriftshandel
image	uttrykk, (personleg/personlig) stil, profil, omdømme, ry
bodyguard	livvakt
booster	forsterkar/forsterker, effektforsterkar/effektforsterker, sluttforsterkar/sluttforsterker
direct mail	direktereklame
default	standard(verdi), standardinnstilling (grunn-, forhånds-, normal-, leverandør-, produsent-)
live	direktesend/direktesendt, direkte
network governance	nettverksstyring
newsgroup	temagruppe, nyheitsgruppe/nyhetsgruppe, diskusjonsgruppe (IKT)
patchwork	lappeteknikk, jf. quilt
barbecue	(hage)grill; grillmat; grillfest
boote	starte (datamaskin), kaldstarte, jf. restart
citizen science	grasrotforsking
pitchekonkurranse 	innsalskonkurranse/innsalgskonkurranse 
pole position	beste startspor
best practice	mønsterpraksis, bestepraksis, beste praksis
geek	fagidiot; særling; dust
laptop	berbar (datamaskin, pc) / bærbar (datamaskin, pc) (IKT)
canyoning	juving, juvvandring
internet service provider (isp)	internettilbydar/internettilbyder
on-hook dialing	rørlaus oppringing / rørløs oppringing
adde	(IKT) leggje til, leggje inn / legge til, legge inn
debug	avluse; feilsøkje/feilsøke; rette programfeil, fjerne programlus; jf. bug
editor	redigeringsprogram (IKT)
establishment, the	det beståande / det bestående (samfunnet), etablissementet
trainee	opplæringstilsett/opplæringsansatt, opplæringskandidat, aspirant, praktikant
turnspeak	vrengjetale/vrengetale
screening	masseundersøking
telemarketing	telefonsal/telefonsalg, marknadsføring/markedsføring (over telefon)
benchmark test	yteprøve (IKT)
calling	dørtelefon (på hus)
cross media publishing	tverrpublisering, tverrmedial publisering
global positioning system (gps)	globalt posisjonsystem (GPS)
advocacy campaign	påverknadskampanje/påvirkningskampanje
co-branding	merkevaresamarbeid, merkesamarbeid
cookie	informasjonskapsel, infokapsel, kjeks (IKT)
web pad	nettbrett
sub-woofer	sub-bass(høgtalar)/sub-bass(høyttaler)
throbber	puls-ikon (ikon i nettlesarar som er animert under søk el. nedlasting)
web hotel	vevhotell
cole slaw	kålsalat
influencer	påverkar/påvirker
reverse engineering	omvend/omvendt utvikling, tilbakevikling, inversutvikling
franchise	forhandlarrett/forhandlerrett, agentur
roll-on	(kule)deodorant, (uformelt:) rulledeo
fight	(hard eller intens) kamp, hardt oppgjer / hardt oppgjør, fait
flip-over	arktavle, papirtavle, stativblokk, flippover
graphic equalizer	grafisk tonekontroll, jf. equalizer
raw food	råmat
agenda	sakliste, dagsorden; (tids)planleggjar/(tids)planlegger, sjuande sans / sjuende sans
body	trusetrøye, trusebluse, kroppsdrakt
clickbait	klikkagn, klikkfang
bias	slagside
site	vevstad/vevsted, nettstad/nettsted
street credibility	gatetruverd/gatetroverdighet
edutainment	leik-og-lær/lek-og-lær(-program), kunnskapsleik/kunnskapslek
mailing list	e-postliste
preset	førehandssetje/forhåndssette, førehandsinnstille/forhåndsinnstille
jetlag	jet(t)sjuke/jet(t)syke, jet(t)ørske, døgnville/døgnvillhet
webserver	nettenar/nettjener, vevtenar/vevtjener
breaking news	siste nytt, nyhendevarsel/nyhetsvarsel, akkurat no / akkurat nå, no:/nå, siste
co-branded	samprodukt
green	holområde/hullområde (i golf)
leading zero	leiande null / ledende null, førestilt null / foranstilt null
true crime	krim frå røyndomen / krim fra virkeligheten, røyndomskrim/virkelighetskrim, krimdokumentar, dokukrim
chatbot	samtalerobot, praterobot
gründer	grunnleggjar/grunnlegger (nøytralt); jobbar/jobber (negativt); jobbskapar/jobbskaper (positivt)
horrorfilm	grøssar/grøsser, skrekkfilm
disruptive technology	brytningsteknologi
tap screen	trykkskjerm
themes	tema, drakt, ham (IKT), jf. skins
mountain bike	terrengsykkel, jf. offroad-sykkel
namedropping	namnestrøing/navnestrøing, namnedryping/navnedrypping, namneskvetting/navneskvetting
polish	poler(ings)middel, pussemiddel, polisj
balanced scorecard (bsc)	balansert målstyring (BMS)
highlight	høgdepunkt/høydepunkt
interface	grensesnitt
patient pathway	pasientforløp/pasientløype
tablet	nettbrett, tavle-pc
amplifier	forsterkar/forsterker
corner	hjørnespark, hjørnekast (idr.)
dotcom-selskap	nettselskap
webside	nettside
hashtag	emneknagg
heavy rock	tungrock
smoothie	smudi
business-to-government	handel med offentleg sektor / handel med offentlig sektor
instant messaging	direktemeldingst(j)eneste, snøggmeldingsteneste/hurtigmeldingstjeneste
memory stick	minnepinne
disc-at-once	heilbrenning/helbrenning, einøktsbrenning/enøktsbrenning, jf. session-at-once
stand-up-komikar/stand-up-komiker	spontankomikar/spontankomiker, ståoppkomikar/ståoppkomiker
teaser	smakebit
mashup	nettfletting (IKT)
notebook	berbar (datamaskin) / bærbar (datamaskin) (IKT)
pager	personsøkjar/personsøker
storyboard	dreiebok
boom	høgkonjunktur/høykonjunktur (økon.), brå oppgang, brå oppsving (allment); i ordsammensetninger gjerne -bølgje/-bølge, jf. babyboom
cracker	datapirat
frozen shoulder	frosen skulder / frossen skulder (med.)
fighting spirit	kampånd, kampglød, gå-på-humør
hosting (med eng. uttale)	netthotell, utleige/utleie
human resource manager	personalsjef
brain drain	hjerneflukt
coache	trene, rettleie/veilede
data mart	datatorg, datamarknad/datamarked
motion capture	rørsleopptak/bevegelsesopptak
community-ansvarleg	nettvert, redaktør, nettstammeansvarleg/-ansvarlig, nettgruppe-, nettsamfunn- (på Internett)
enter(tast)	linjeskift(tast), retur(tast)
hosted (med eng. uttale)	utleigd/utleid
microchip	(data)brikke, mikrobrikke, integrert krins / integrert krets, jf. chip, integrated circuit
pink	rosa, lyseraud/lyserød
rss feed	nyheitsvarsling/nyhetsvarsling, -mating
backbone	stamnett (IKT)
business-to-government (b2g)	sal til det offentlege / salg til det offentlige (= business-to-administration (B2A))
disclaimer	ansvarsfråskriving, atterhald / ansvarsfraskrivelse, forbehold
implementere	setje i verk/iverksette, setje ut i livet / sette ut i livet, gjennomføre
twitter	se tweet
data warehouse	datavarehus
hanggliding	hengeflyging, hengegliding
bucket list	kisteliste
house	huse (andres operative maskinvare i eigne lokale mot betaling), jf. hoste
public service (broadcasting)	allmennkringkasting
print on demand (pod)	trykk etter behov (TEB), bestillingstrykk, tingingstrykk, jf. publishing on demand
marketing	marknadsføring/markedsføring
retail version	forhandlarversjon/forhandlerversjon, salsversjon/salgsversjon (IKT)
e-commerce	e-handel, netthandel
holding company	eigarselskap/eierselskap, holdingselskap
layout	grafisk utforming, oppsett, bladbunad, jf. design
compliance auditing	etterlevingsrevisjon/etterlevelsesrevisjon, samsvarsrevisjon
food processor	kjøkkenmaskin, matmølle, matprosessor, matkvern
policy	politikk, taktikk, retningslinjer
business case	prosjektgrunngjeving/prosjektbegrunnelse, verksemdsscenario/virksomhetsscenario, forretningsgrunnlag, konseptgrunnlag
carjacking	bilkapring
clutch	koplingspedal, kløtsj
catering	matlevering; selskapsmat
e-mail	jf. mail
franchising	forhandlarrettssamarbeid/forhandlerrettssamarbeid, forhandlaravtale/forhandleravtale
inline skates	(«linjeskøyter», dvs. rulleskøyter med hjulene på rekke:) rulleskøyter
double backslash (\\)	dobbel omvend skråstrek / dobbelt omvendt skråstrek, jf. backslash
printe	skrive ut
bear market	bjørnemarknad/bjørnemarked 
display	skjerm, teiknrute/tegnrute, (tekst)vindauge/(tekst)vindu (t.d. på telefonen)
coach	trenar/trener, rettleiar/veileder, leiar/leder, rådgjevar/rådgiver
sudden death	førstemålsspel/førstemålsspill
backup	reservekopi, tryggingskopi/sikkerhetskopi (IKT); støtte, hjelp, oppfølging (allment); jf. backing
cruise control	fartshaldar/fartsholder
instant coffee	pulverkaffi/pulverkaffe
tweet	(substantiv:) tvitring, tvitt, twittermelding, kvitter, kvitring
booke	bestille, tinge; reservere; skrive seg inn
connector	port, utgang, kontakt, koplingspunkt (maskinvare); portnar/portner, bindeledd (programvare)
heade	nikke, skalle, stange, hedde
phishing	nettfisking
cageball	burball
corporate social responsibility (csr)	samfunnsansvaret til bedrifta / bedriftens samfunnsansvar
headhunting	handplukking/håndplukking, hovudjakt/hodejakt, utveljing/utvelging
human resource management (hrm)	leiing av personalressursar  / ledelse av personalressurser, leiing av menneskelege ressursar (LMR) / Ledelse av menneskelige ressurser (LMR)
news on demand	nyheiter etter (ved) behov, på bestilling / nyheter etter (ved) behov, på bestilling, jf. on demand
pitch	innsal/innsalg
backpacker	ryggsekkturist
base camp	baseleir
fintech	finansteknologi
reality-tv	røyndoms-TV/virkelighets-TV, dokusåpe
babyboom	babybølgje/babybølge, fødselsbølgje/fødselsbølge, jf. boom
economies of agglomeration	samlokaliseringsfordelar/samlokaliseringsfordeler
link	lenkje/lenke, peikar/peker, kopling (IKT)
world wide web	Verdsveven/Verdensveven
browse	bla, bla igjennom, lese
fighter	kjempar/kjemper, faitar/faiter
hangover	fyllesjuke, tømmermenn, bakrus
prime time	beste sendetid
slow motion	sakte film, langsam kino / langsom kino
toastmaster	visevert, kjøkemeister/kjøkemester
audition	prøvespel/prøvespill, rolleprøve, opptaksprøve
matche	passe saman med / passe sammen med, stå til; komme opp mot, måle seg med
overheadprojektor	skriftprosjektør, lysarkvisar/lysarkviser
walkover	autoopprykk; gratissiger/gratisseier
weekend	helg, vekeslutt/ukeslutt
case study	kasusstudie, tilfellestudie, eksempelstudie, dømestudie
chunk	klump, bit
inside trading	innsidehandel
search path	søkjebane/søkebane, søkjeveg/søkevei (i operativsystem), jf. browse path
surround sound	kringlyd
restart	omstart, varmstart, jf. boote (IKT)
accountability	ansvarsutkreving, ansvarleggjering/ansvarliggjøring
chatte	prate på nettet, nettprate, (humor.:) tjatte, tjatre
integrated circuit	integrert krins / integrert krets, (data)brikke, jf. chip
hacker	datasnok
teamwork	lagarbeid, samarbeid
access point	tilgangspunkt
account manager	kundeleiar/kundeleder, kundeansvarleg/kundeansvarlig, kundekontakt, jf. key account manager
actionfilm	spenningsfilm, valdsfilm/voldsfilm
road-movie	landevegsfilm/landeveisfilm
stakeholder	interessent
booking	bestilling, tinging; reservasjon
gate	utgang (på flyplass)
impact	samfunnsbidrag
drawback	ulempe, bakdel, mangel
scanne	skanne, avlese
leisure wear	fritidsklede/fritidsklær
retweet	gjentvitre/oppattvitre, retvitre
screen shot	skjermdump, skjermbiletkopi/skjermbildekopi
governance	styring (og ettersyn); delaktighetsstyring; styresett
newsfeed	nyheitsvarsling/nyhetsvarsling, -mating, -straum/strøm
overhead	skriftprosjektør, lysarkvisar/lysarkviser (tekn.); lysark, transparent (tekn.); administrasjonskostnader, felleskostnader (økon.)
touchpad	styreplate, peikeplate/pekeplate (IKT)
community	lokalsamfunn, nettgruppe, nettsamfunn
corporate governance	eigarstyring og selskapsleiing / eierstyring og selskapsledelse
earcon	lydikon, lydlogo, jf. auditory icon
scanner	skannar/skanner, avlesar/avleser
carport	open garasje / åpen garasje, bilbås
makeup	sminke
option	val/valg, alternativ, moglegheit/mulighet (allment); opsjon (økon./pol.); funksjonsval/funksjonsvalg (IKT)
spin-off	avspinn, sideverknad/sidevirkning, sideeffekt
fanklubb	beundrarklubb/beundrerklubb, venelag
literature review	litteraturgjennomgang
sidebar	sidestolpe, infostolpe (IKT)
business-to-consumer (b2c)	detaljhandel
facility management	næringsforvaltning, eigedomsforvaltning/eiendomsforvaltning, bygningsforvaltning
flow chart	flytskjema, flytdiagram
peer review	fagfellevurdering, kollegavurdering
sample	punktprøve (tekn.); lydsnutt, videosnutt (mus., media); utval/utvalg (samf.vit.)
binge watching	seriemaraton, seriefråtsing, tv-fråtsing
blame game	skuldspel/skyldspill, skuldfordelingsspel/skyldfordelingsspill,  syndebukkspel/syndebukkspill
board	(reklame)tavle, reklame(skilt)
sunk cost	tapt kostnad, irreversibel kostnad
windsurfing	brettsegling/brettseiling
push-up-bh	heve-BH, løfte-BH
release notes	produktmerknader, versjonsmerknader (IKT)
roller blades	(eg. inline skates «linjeskøyter») rulleskøyter
fighte	slåss/slåst, kjempe, konkurrere, faite
header	topptekst, jf. footer (IKT)
proxy server	mellom(ledds)tenar/mellom(ledds)tjener
on demand	etter behov, behovs-, -bestillings-, tingings-, på førespurnad / på forespørsel, jf. news, print, publishing og video on demand
reset	tilbakestille, nullstille
shabby chic	lurvelekkert
webinar	nettseminar
whiteboard-tusj	tavletusj
crew	stab, arbeidslag, gruppe, besetning, mannskap
freelance	frilans (adj.); frilansar/frilanser (subst.)
in-house	intern-, firma- (i samansetjingar), sjølv/selv, på huset
degrowth	nedvekst
flatshare	bufellesskap/bofellesskap, medbuarskap/medboerskap, kollektiv
fuzzy logic	ullen logikk, flytande / flytende logikk, lodden logikk, linn logikk
pulled pork	plukksvin
assist	målgjevande pasning / målgivende pasning (fotball)
backstage	bak scenen, bakscenes
bull market	oksemarknad/oksemarked 
clou (frå fransk)	høgdepunkt/høydepunkt, glansnummer
knowhow	fagkunnskap, faginnsikt, ekspertise
take-away-food	hentemat, ta-med-mat
stashe	stase (seg opp), pynte (seg)
flight recorder	ferd(s)skrivar/ferd(s)skriver
food truck	matvogn, matbil
hat trick	trillingmål
